player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Khadarel Hodge,CLE,6.0,82.0,0.6,0.0,0.0,0.0,0.0,14.1
Kevin White,SF,5.2,63.4,0.4,0.0,0.0,0.0,0.0,11.1
Trent Sherfield,ARI,4.9,65.9,0.3,0.0,0.0,0.0,0.0,10.8
Chris Lacy,DET,5.2,62.8,0.3,0.0,0.0,0.0,0.0,10.9
Darnell Mooney,CHI,5.2,64.5,0.3,0.0,0.0,0.0,0.0,10.7
Dezmon Patmon,IND,6.5,81.2,0.5,0.0,0.0,0.0,0.0,13.7
Ventell Bryant,DAL,7.0,90.2,0.6,0.0,0.0,0.0,0.0,14.6
Darius Jennings,LAC,6.1,74.4,0.4,0.0,0.0,0.0,0.0,12.1
Jeff Smith,NYJ,4.6,55.5,0.3,0.0,0.0,0.0,0.0,9.5
Devin Gray,ATL,4.4,54.0,0.3,0.0,0.0,0.0,0.0,10.5
Zay Jones,LV,6.2,64.7,0.5,0.0,0.3,0.0,0.0,11.9
Marcell Ateman,LV,4.5,84.7,0.5,0.0,0.0,0.0,0.0,13.3
Deon Cain,PIT,4.8,62.7,0.4,0.0,0.0,0.0,0.0,10.6
Alexander Hollins,MIN,3.8,53.3,0.3,0.0,0.0,0.0,0.0,8.8
Isaiah Hodgins,BUF,4.4,53.0,0.3,0.0,0.0,0.0,0.0,9.1
K.J. Osborn,MIN,6.0,83.0,0.2,0.0,0.0,0.0,0.0,10.6
Amara Darboh,PIT,3.9,50.0,0.3,0.0,0.0,0.0,0.0,8.5
Rashard Davis,TEN,4.9,63.1,0.3,0.0,0.0,0.0,0.0,10.1
Tevin Jones,DAL,3.5,47.4,0.3,0.0,0.0,0.0,0.0,8.0
Daurice Fountain,IND,3.7,51.2,0.3,0.0,0.0,0.0,0.0,8.3
Gehrig Dieter,KC,3.5,46.1,0.3,0.0,0.0,0.0,0.0,8.2
Brandon Powell,ATL,3.7,49.4,0.2,0.0,0.0,0.0,0.0,8.1
Isaac Whitney,HOU,3.7,46.2,0.3,0.0,0.0,0.0,0.0,7.9
John Ursua,SEA,5.1,75.2,0.5,0.0,0.0,0.0,0.0,12.4
Austin Carr,NO,3.6,44.2,0.3,0.0,0.0,0.0,0.0,7.8
