ecp,ecp_tier,player,team,pos,bye,sos,ecp_vs_adp
141,9,Jaylen Warren,PIT,RB46,6,3 out of 5 stars,+33
142,9,Devin Singletary,HOU,RB47,7,3 out of 5 stars,+5
143,9,Tyler Allgeier,ATL,RB48,11,4 out of 5 stars,+12
144,9,DJ Chark Jr.,CAR,WR63,7,4 out of 5 stars,+37
145,9,Gerald Everett,LAC,TE16,5,4 out of 5 stars,+9
146,9,Kenneth Gainwell,PHI,RB49,10,1 out of 5 stars,+39
147,9,Matthew Stafford,LAR,QB19,10,2 out of 5 stars,+15
148,9,Derek Carr,NO,QB20,11,5 out of 5 stars,+10
149,9,Donovan Peoples-Jones,CLE,WR64,5,3 out of 5 stars,+66
150,9,Dalton Kincaid,BUF,TE17,13,3 out of 5 stars,-26
151,9,K.J. Osborn,MIN,WR65,13,3 out of 5 stars,+26
152,9,Ezekiel Elliott,NE,RB50,11,2 out of 5 stars,-6
153,9,Kenny Pickett,PIT,QB21,6,2 out of 5 stars,+13
154,9,Jordan Love,GB,QB22,6,5 out of 5 stars,+26
155,10,Alec Pierce,IND,WR66,11,4 out of 5 stars,+83
156,10,Isaiah Hodgins,NYG,WR67,13,3 out of 5 stars,+93
157,10,Hunter Renfrow,LV,WR68,13,2 out of 5 stars,+63
158,10,Tank Bigsby,JAC,RB51,9,2 out of 5 stars,+17
159,10,Curtis Samuel,WAS,WR69,14,3 out of 5 stars,+80
160,10,Rashid Shaheed,NO,WR70,11,4 out of 5 stars,+98
161,10,Juwan Johnson,NO,TE18,11,5 out of 5 stars,0
162,10,Van Jefferson,LAR,WR71,10,3 out of 5 stars,+92
163,10,Brock Purdy,SF,QB23,9,3 out of 5 stars,+5
164,10,D'Onta Foreman,CHI,RB52,13,5 out of 5 stars,+15
165,10,San Francisco 49ers,SF,DST1,9,1 out of 5 stars,-79
166,10,Kendre Miller,NO,RB53,11,4 out of 5 stars,+24
167,10,Jonathan Mingo,CAR,WR72,7,4 out of 5 stars,+45
168,10,Darius Slayton,NYG,WR73,13,3 out of 5 stars,+97
169,10,Dallas Cowboys,DAL,DST2,7,2 out of 5 stars,-52
170,10,Sam LaPorta,DET,TE19,9,3 out of 5 stars,-6
171,10,Bryce Young,CAR,QB24,7,4 out of 5 stars,-4
172,10,Kyler Murray,ARI,QB25,14,2 out of 5 stars,+4
173,10,Philadelphia Eagles,PHI,DST3,10,2 out of 5 stars,-66
174,10,Justin Tucker,BAL,K1,13,5 out of 5 stars,-84
175,10,Marquez Valdes-Scantling,KC,WR74,10,2 out of 5 stars,+24
176,10,Chuba Hubbard,CAR,RB54,7,4 out of 5 stars,+51
177,10,DeVante Parker,NE,WR75,11,2 out of 5 stars,+83
178,10,Roschon Johnson,CHI,RB55,13,5 out of 5 stars,+44
179,10,Irv Smith Jr.,CIN,TE20,7,4 out of 5 stars,+27
180,10,Parris Campbell,NYG,WR76,13,3 out of 5 stars,+34
181,10,Buffalo Bills,BUF,DST4,13,1 out of 5 stars,-76
182,10,John Metchie III,HOU,WR77,7,4 out of 5 stars,+53
183,10,Hayden Hurst,CAR,TE21,7,3 out of 5 stars,+36
