player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Cam Akers,LAR,280.0,1241.4,7.0,33.3,280.1,1.6,1.1,210.7
David Montgomery,DET,217.2,884.1,7.9,40.0,360.0,1.6,0.8,215.0
Javonte Williams,DEN,221.9,986.4,6.4,46.0,340.1,2.6,1.1,255.8
J.K. Dobbins,BAL,234.7,1058.2,8.0,27.7,195.0,3.0,0.0,199.2
Isiah Pacheco,KC,236.4,1065.2,9.0,29.6,241.7,1.4,1.4,228.9
James Cook,BUF,176.5,883.0,5.7,43.7,341.6,2.0,0.9,234.4
D'Andre Swift,PHI,131.0,681.0,6.0,51.1,474.5,2.2,0.7,227.7
Antonio Gibson,WAS,162.9,643.4,5.0,52.0,396.6,2.0,0.7,206.9
AJ Dillon,GB,186.0,782.0,6.2,32.0,248.0,1.0,0.4,192.9
Dalvin Cook,NYJ,223.2,923.9,5.7,34.7,230.5,1.7,1.0,185.0
Khalil Herbert,CHI,171.0,912.4,5.5,30.3,215.1,1.1,0.0,177.4
Samaje Perine,DEN,189.0,811.0,5.0,36.0,286.6,2.0,0.0,178.8
Brian Robinson Jr.,WAS,241.4,1065.5,6.4,25.4,183.1,1.5,0.0,194.8
Jeff Wilson Jr.,MIA,156.0,831.9,6.5,31.0,258.9,1.6,1.0,206.6
Jamaal Williams,NO,186.0,716.1,6.4,21.8,159.4,1.2,0.5,144.1
Raheem Mostert,MIA,163.0,735.0,4.0,27.0,197.7,1.1,0.6,144.7
Rashaad Penny,PHI,166.0,839.0,7.0,13.0,82.0,0.6,0.5,134.1
Jerick McKinnon,KC,81.6,307.5,2.7,49.0,393.0,4.0,0.0,154.0
Zach Charbonnet,SEA,154.9,656.1,5.0,28.6,243.4,1.1,0.6,156.8
Elijah Mitchell,SF,153.2,697.5,5.2,18.3,149.9,2.0,0.0,137.9
Devin Singletary,HOU,146.0,582.5,4.0,29.0,202.2,0.7,0.8,149.5
Tyler Allgeier,ATL,167.8,784.6,5.2,15.2,123.7,1.0,0.0,143.7
Jaylen Warren,PIT,114.0,529.0,3.1,27.0,256.2,0.9,0.0,131.8
