player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Isaac Whitney,ARI,2.1,24.1,0.2,0.0,0.0,0.0,0.0,5.2
Marcus Kemp,KC,0.9,9.6,0.0,0.0,0.0,0.0,0.0,2.9
Terry Godwin,JAC,2.0,22.5,0.2,0.0,0.0,0.0,0.0,5.0
Dax Milne,WAS,1.8,23.4,0.1,0.0,0.0,0.0,0.0,4.8
Antoine Wesley,ARI,1.8,22.2,0.1,0.0,0.0,0.0,0.0,4.7
Juwan Johnson,NO,1.7,21.4,0.1,0.0,0.0,0.0,0.0,4.5
Allen Hurns,MIA,1.6,16.7,0.2,0.0,0.0,0.0,0.0,4.0
Equanimeous St. Brown,GB,1.3,17.1,0.2,0.0,0.0,0.0,0.0,3.7
Travis Benjamin,SF,1.2,17.3,0.2,0.0,0.0,0.0,0.0,3.5
David Moore,LV,1.3,16.0,0.2,0.0,0.0,0.0,0.0,3.6
Isaiah Ford,MIA,1.6,15.0,0.1,0.0,0.0,0.0,0.0,3.8
Stanley Morgan Jr.,CIN,0.8,9.0,0.0,0.0,0.0,0.0,0.0,2.6
Mack Hollins,MIA,0.8,8.0,0.0,0.0,0.0,0.0,0.0,2.5
Kendall Hinton,DEN,1.1,12.1,0.0,1.2,6.4,0.0,0.0,3.6
Joe Reed,LAC,0.8,9.4,0.0,0.9,4.8,0.0,0.0,2.9
Matt Cole,NYG,0.9,9.5,0.0,0.9,4.3,0.0,0.0,2.7
DeMichael Harris,IND,0.7,8.1,0.0,0.9,4.7,0.0,0.0,2.5
Malik Turner,DAL,0.9,10.6,0.0,0.0,0.0,0.0,0.0,2.2
Kelvin Harmon,WAS,0.8,10.6,0.0,0.0,0.0,0.0,0.0,2.2
Vyncint Smith,NYJ,0.9,10.1,0.0,0.0,0.0,0.0,0.0,2.2
Gehrig Dieter,KC,0.9,9.7,0.0,0.0,0.0,0.0,0.0,2.2
Josh Malone,NYJ,0.9,9.4,0.0,0.0,0.0,0.0,0.0,2.1
Jason Moore Jr.,LAC,0.8,9.5,0.0,0.0,0.0,0.0,0.0,2.2
Jeff Badet,ATL,0.9,9.3,0.0,0.0,0.0,0.0,0.0,2.1
Chad Hansen,DET,0.9,9.2,0.0,0.0,0.0,0.0,0.0,2.1
Keelan Doss,ATL,0.8,9.3,0.0,0.0,0.0,0.0,0.0,2.0
Tanner Gentry,BUF,0.8,9.2,0.0,0.0,0.0,0.0,0.0,2.2
Cyril Grayson Jr.,TB,0.9,9.0,0.0,0.0,0.0,0.0,0.0,2.2
Darvin Kidsy,SEA,0.8,9.0,0.0,0.0,0.0,0.0,0.0,2.1
Laquon Treadwell,JAC,0.8,8.4,0.0,0.0,0.0,0.0,0.0,2.0
John Hightower,PHI,0.7,9.8,0.0,0.0,0.0,0.0,0.0,2.0
Marcell Ateman,LV,0.7,9.1,0.0,0.0,0.0,0.0,0.0,1.9
Jake Lampman,NO,0.7,9.4,0.0,0.0,0.0,0.0,0.0,2.0
Derrick Willies,CLE,0.7,8.6,0.0,0.0,0.0,0.0,0.0,1.9
Dan Chisena,MIN,0.7,8.7,0.0,0.0,0.0,0.0,0.0,1.9
Alexander Hollins,CLE,0.7,8.5,0.0,0.0,0.0,0.0,0.0,1.9
Ja'Marcus Bradley,CLE,0.7,8.4,0.0,0.0,0.0,0.0,0.0,1.9
JoJo Natson,CLE,0.7,8.3,0.0,0.0,0.0,0.0,0.0,1.9
Dante Pettis,NYG,0.7,8.4,0.0,0.0,0.0,0.0,0.0,1.8
Cody Hollister,TEN,0.7,8.0,0.0,0.0,0.0,0.0,0.0,1.9
River Cracraft,SF,0.7,8.3,0.0,0.0,0.0,0.0,0.0,1.8
Justin Hardy,CHI,0.7,8.0,0.0,0.0,0.0,0.0,0.0,1.8
Tyrie Cleveland,DEN,0.7,8.0,0.0,0.0,0.0,0.0,0.0,1.7
Kevin White,NO,0.7,8.0,0.0,0.0,0.0,0.0,0.0,1.8
Ryan Switzer,CLE,0.8,7.1,0.0,0.0,0.0,0.0,0.0,1.8
Keith Kirkwood,CAR,0.7,7.6,0.0,0.0,0.0,0.0,0.0,1.7
Jordan Matthews,SF,0.7,7.6,0.0,0.0,0.0,0.0,0.0,1.8
