rank,name,team,position,bye,best,worst,ecp,ecp_std_dev,adp,ecp_vs_adp
226,Jaron Brown,ARI,WR82,8,129,264,208.3,38.2,262.0,+36.0
227,Devontae Booker,DEN,RB70,5,136,268,216.2,34.0,233.0,+6.0
228,Jerick McKinnon,MIN,RB71,9,151,281,212.1,31.0,280.0,+52.0
229,Philadelphia Eagles,,DST14,10,176,250,206.1,19.2,207.0,-22.0
230,Steven Hauschka,BUF,K7,6,169,237,202.2,22.2,209.0,-21.0
231,Trevor Siemian,DEN,QB27,5,162,251,210.0,23.2,294.0,+63.0
232,Chris Carson,SEA,RB72,6,147,253,202.8,34.3,253.0,+21.0
233,Jeremy Kerley,SF,WR83,11,75,327,212.0,45.5,336.0,+103.0
234,Jared Goff,LAR,QB28,8,161,260,210.7,24.3,251.0,+17.0
235,Cincinnati Bengals,,DST15,6,166,257,212.2,24.1,236.0,+1.0
236,Brandon LaFell,CIN,WR84,6,123,265,215.3,32.1,200.0,-36.0
237,Marquise Goodwin,SF,WR85,11,155,323,219.6,41.1,298.0,+61.0
238,De'Angelo Henderson,DEN,RB73,5,140,388,219.4,68.1,223.0,-15.0
239,Benjamin Watson,BAL,TE31,10,145,262,216.1,32.9,283.0,+44.0
240,Deshaun Watson,HOU,QB29,7,169,248,208.2,23.2,212.0,-28.0
241,ArDarius Stewart,NYJ,WR86,11,163,262,210.9,24.2,203.0,-38.0
242,Cairo Santos,KC,K8,10,166,236,208.6,16.3,195.0,-47.0
243,Curtis Samuel,CAR,WR87,11,162,266,219.9,25.7,235.0,-8.0
244,Travis Benjamin,LAC,WR88,9,170,324,229.9,34.5,301.0,+57.0
245,Kyle Juszczyk,SF,RB74,11,138,240,192.0,32.7,259.0,+14.0
246,Los Angeles Chargers,,DST16,9,153,280,219.8,26.6,234.0,-12.0
247,Matt Prater,DET,K9,7,170,241,210.3,16.6,178.0,-69.0
248,Jermaine Gresham,ARI,TE32,8,153,249,220.8,27.9,292.0,+44.0
249,Will Lutz,NO,K10,5,174,244,210.9,17.8,186.0,-63.0
250,Eli Rogers,PIT,WR89,9,137,321,237.0,33.1,350.0,+100.0
251,Sebastian Janikowski,OAK,K11,10,183,250,212.8,16.0,191.0,-60.0
252,Tyler Boyd,CIN,WR90,6,172,252,218.9,22.1,277.0,+25.0
253,Alfred Morris,DAL,RB75,6,159,274,220.3,35.7,288.0,+35.0
254,Oakland Raiders,,DST17,10,183,260,218.0,22.1,281.0,+27.0
255,Tampa Bay Buccaneers,,DST18,11,181,255,217.1,22.4,275.0,+20.0
256,Brandon McManus,DEN,K12,5,176,242,214.0,18.4,227.0,-29.0
257,James Conner,PIT,RB76,9,164,272,231.0,27.3,192.0,-65.0
258,Green Bay Packers,,DST19,8,178,248,216.9,18.6,290.0,+32.0
259,DeShone Kizer,CLE,QB30,9,175,292,226.5,26.9,314.0,+55.0
260,Adam Humphries,TB,WR91,11,140,336,241.8,70.4,342.0,+82.0
261,Laquon Treadwell,MIN,WR92,9,151,267,231.1,25.6,267.0,+6.0
262,Branden Oliver,LAC,RB77,9,154,311,234.9,32.3,221.0,-41.0
263,Chandler Catanzaro,NYJ,K13,11,175,218,194.0,14.4,311.0,+48.0
